De Kommunale Nøgletal;;;;;;
;;;;;;
;Kom.nr;2019;2020;2021;2022;2023
;;;;;;
Langfristet gæld ultimo året pr. indb.;;;;;;
Struer Kommune;671;9.462;10.358;10.227;10.315;M
Syddjurs Kommune;706;11.486;12.681;13.057;12.408;M
Norddjurs Kommune;707;12.690;10.294;8.325;6.303;M
Favrskov Kommune;710;8.804;8.212;7.821;6.748;M
Odder Kommune;727;13.101;12.421;12.082;12.843;M
Randers Kommune;730;9.369;9.359;9.331;9.327;M
Silkeborg Kommune;740;4.318;3.572;5.456;5.550;M
Samsø Kommune;741;99.978;106.601;107.533;105.734;M
Skanderborg Kommune;746;6.231;6.296;6.100;6.565;M
Aarhus Kommune;751;13.481;8.148;10.102;9.978;M
Ikast-Brande Kommune;756;8.567;13.025;11.816;11.256;M
Ringkøbing-Skjern Kommune;760;10.132;11.247;11.205;12.520;M
Hedensted Kommune;766;9.284;10.449;9.300;8.846;M
Skive Kommune;779;10.884;10.239;9.949;9.288;M
Viborg Kommune;791;8.344;8.100;7.651;7.549;M
Morsø Kommune;773;12.592;12.928;14.035;14.304;M
Thisted Kommune;787;7.853;8.282;8.513;9.150;M
Brønderslev Kommune;810;15.328;14.461;15.017;14.651;M
Frederikshavn Kommune;813;18.645;17.308;16.775;14.424;M
Vesthimmerlands Kommune;820;15.241;15.139;15.024;14.447;M
Læsø Kommune;825;34.414;60.570;55.700;53.808;M
Rebild Kommune;840;7.374;9.731;9.172;8.587;M
Mariagerfjord Kommune;846;14.582;14.889;14.225;12.438;M
Jammerbugt Kommune;849;15.619;16.123;16.767;16.472;M
Aalborg Kommune;851;6.284;7.309;8.643;8.848;M
Hjørring Kommune;860;17.718;17.153;16.922;16.946;M
Gennemsnit;;10.163;10.033;10.006;9.869;M
;;;;;;
Likvide aktiver ultimo året pr. indb.;;;;;;
Københavns Kommune;101;17.544;22.084;22.044;17.960;M
Frederiksberg Kommune;147;7.575;9.267;8.370;6.728;M
Ballerup Kommune;151;10.184;9.481;10.502;9.718;M
Brøndby Kommune;153;13.726;12.067;13.957;11.409;M
Dragør Kommune;155;4.370;7.551;6.289;4.314;M
Gentofte Kommune;157;3.645;4.083;4.880;5.045;M
Gladsaxe Kommune;159;21.564;22.358;18.616;17.129;M
Glostrup Kommune;161;3.238;4.662;3.176;3.097;M
Herlev Kommune;163;-1.886;1.173;1.435;-2.745;M
Albertslund Kommune;165;2.371;884;1.554;-436;M
Hvidovre Kommune;167;6.572;10.097;9.653;5.297;M
Høje-Taastrup Kommune;169;6.946;5.806;-1.404;-655;M
Lyngby-Taarbæk Kommune;173;10.024;9.440;7.539;661;M
Rødovre Kommune;175;-2.088;2.121;1.200;-780;M
Ishøj Kommune;183;8.874;11.189;10.202;8.103;M
Tårnby Kommune;185;15.840;14.579;11.694;6.417;M
Vallensbæk Kommune;187;6.991;11.132;10.303;7.010;M
Furesø Kommune;190;262;2.391;2.387;-910;M
Allerød Kommune;201;-2.138;-2.901;-1.784;-3.337;M
Fredensborg Kommune;210;1.302;1.891;3.075;-205;M
Helsingør Kommune;217;-1.388;-716;-1.223;-1.450;M
Hillerød Kommune;219;1.658;3.720;5.700;3.855;M
Hørsholm Kommune;223;-1.060;560;4.376;1.372;M
Rudersdal Kommune;230;-3.179;-336;1.076;-1.605;M
Egedal Kommune;240;9.662;13.043;5.623;6.075;M
Frederikssund Kommune;250;168;3.402;2.813;2.012;M
Halsnæs Kommune;260;2.970;4.039;3.209;489;M
Gribskov Kommune;270;-767;964;4.231;-1.128;M
Bornholms Kommune;400;1.204;3.590;2.773;-49;M
Greve Kommune;253;4.440;6.640;6.324;3.989;M
Køge Kommune;259;1.491;3.291;3.255;2.666;M
Roskilde Kommune;265;-2.101;1.329;-11;-602;M
Solrød Kommune;269;10.126;13.590;12.101;8.319;M
Odsherred Kommune;306;-2.382;4.826;-1.221;3.321;M
Holbæk Kommune;316;-67;1.367;1.833;2.602;M
Faxe Kommune;320;487;1.192;1.653;-1.340;M
Kalundborg Kommune;326;4.301;4.297;2.143;172;M
Ringsted Kommune;329;6.288;6.502;5.387;6.206;M
Slagelse Kommune;330;1.386;1.559;-695;-3.053;M
Stevns Kommune;336;4.274;3.546;1.806;811;M
Sorø Kommune;340;-341;1.743;1.239;1.564;M
Lejre Kommune;350;1.062;3.032;3.356;2.617;M
Lolland Kommune;360;-500;-1.699;-2.279;-368;M
Næstved Kommune;370;2.944;4.306;3.730;3.829;M
Guldborgsund Kommune;376;8.642;10.144;10.307;4.828;M
Vordingborg Kommune;390;609;3.462;-1.917;144;M
Middelfart Kommune;410;1.386;3.491;5.078;4.648;M
Assens Kommune;420;8.143;11.604;8.783;7.361;M
Faaborg-Midtfyn Kommune;430;3.455;4.001;4.318;2.213;M
Kerteminde Kommune;440;2.745;2.082;2.631;436;M
Nyborg Kommune;450;7.925;10.167;9.765;8.014;M
Odense Kommune;461;4.037;6.311;9.066;8.867;M
